傻斌;2501000000;Valid;阙;北京中关村 苹果店;苹果;110;156516;肥斌;南京鼓楼区 地下通道;出租屋;120;38388;安全;1.0;10.0;10.0;10.0;10.0;Economy;Carton;56.8;0天3小时; ;
李三;2501000003;Valid;张思;南京鼓楼区 鼓楼校区;南京大学;8008208820;13872819282;老王;南京鼓楼区 随园校区;南京师范大学;129372371;12684192731;玫瑰;10.0;1.0;10.0;1.0;5.0;Economy;bag;7.9;0天2小时; ;
欢;2508200000;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;南京江宁区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Wooden;26.5;0天3小时; ,2016-01-05 00:05:59 : 您的订单已到达北京中转中心,2016-01-05 00:14:24 : 订单已在该中转中心入库,2016-01-05 00:30:31 : 快递员派件王正在派件中;
薰;2501000001;Valid;m;南京鼓楼区 1b440;中南山;18318366573;6655232;夜月;南京鼓楼区 龙泰国际;美利坚;13713832443;6672132;手抓饼;1.0;1.0;10.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2501000002;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;南京鼓楼区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2502000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;南京玄武区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2503000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;南京建邺区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2504000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;南京秦淮区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2505000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;南京栖霞区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2506000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;南京六合区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2507000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;南京浦口区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2508000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;南京江宁区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;1001000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;北京宣武区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1002000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;北京东城区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1003000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;北京西城区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1004000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;北京崇文区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1017000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;北京平谷区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;2103000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;上海长宁区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2108000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;上海闵行区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2109000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;上海宝山区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2111000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;上海浦东新区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2114000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;上海青浦区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2120000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;上海高新区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2001000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;广州越秀区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2005000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;广州萝岗区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2006000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;广州黄埔区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2010000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;广州南沙区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2012000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;广州增城市 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2015000000;Valid;鹏;南京鼓楼区 3c675;太平洋;18323882381;6423412;锟名;广州高新区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2502000001;Valid;鹏;南京建邺区 3c675;太平洋;18323882381;6423412;锟名;南京玄武区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2507000001;Valid;鹏;南京建邺区 3c675;太平洋;18323882381;6423412;锟名;南京浦口区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;1007000000;Valid;鹏;南京建邺区 3c675;太平洋;18323882381;6423412;锟名;北京海淀区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1015000000;Valid;鹏;南京建邺区 3c675;太平洋;18323882381;6423412;锟名;北京怀柔区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;2106000000;Valid;鹏;南京建邺区 3c675;太平洋;18323882381;6423412;锟名;上海虹口区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2001000001;Valid;鹏;南京建邺区 3c675;太平洋;18323882381;6423412;锟名;广州越秀区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2007000000;Valid;鹏;南京栖霞区 3c675;太平洋;18323882381;6423412;锟名;广州海珠区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2011000000;Valid;鹏;南京栖霞区 3c675;太平洋;18323882381;6423412;锟名;广州从化市 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2012000001;Valid;鹏;南京栖霞区 3c675;太平洋;18323882381;6423412;锟名;广州增城市 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2013000000;Valid;鹏;南京栖霞区 3c675;太平洋;18323882381;6423412;锟名;广州东山区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;1811.1;52天2小时; ;
欢;2504000001;Valid;鹏;南京栖霞区 3c675;太平洋;18323882381;6423412;锟名;南京秦淮区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2507000002;Valid;鹏;北京崇文区 3c675;太平洋;18323882381;6423412;锟名;南京浦口区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1011000000;Valid;鹏;北京崇文区 3c675;太平洋;18323882381;6423412;锟名;北京通州区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;1020000000;Valid;鹏;北京崇文区 3c675;太平洋;18323882381;6423412;锟名;北京中关村 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2115000000;Valid;鹏;北京崇文区 3c675;太平洋;18323882381;6423412;锟名;上海奉贤区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2007000001;Valid;鹏;北京崇文区 3c675;太平洋;18323882381;6423412;锟名;广州海珠区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;65.1;1天14小时; ;
欢;2007000002;Valid;鹏;北京崇文区 3c675;太平洋;18323882381;6423412;锟名;广州海珠区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;65.1;1天14小时; ;
欢;2011000001;Valid;鹏;北京怀柔区 3c675;太平洋;18323882381;6423412;锟名;广州从化市 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;65.1;1天14小时; ;
欢;2114000001;Valid;鹏;北京门头沟区 3c675;太平洋;18323882381;6423412;锟名;上海青浦区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;2010000001;Valid;鹏;北京西城区 3c675;太平洋;18323882381;6423412;锟名;广州南沙区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;65.1;1天14小时; ;
欢;2502000002;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;南京玄武区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1003000001;Valid;鹏;上海静安区 3c675;太平洋;18323882381;6423412;锟名;北京西城区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;1008100000;Valid;鹏;上海浦东新区 3c675;太平洋;18323882381;6423412;锟名;北京丰台区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2104100000;Valid;鹏;南京江宁区 3c675;太平洋;18323882381;6423412;锟名;上海静安区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2117100000;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;上海工业区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2012100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;广州增城市 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;1016100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;北京密云县 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;18.3;0天4小时; ;
欢;2508100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;南京江宁区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;313.2;6天20小时; ;
欢;1001100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;北京宣武区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;18.3;0天4小时; ;
欢;1020100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;北京中关村 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;18.3;0天4小时; ;
欢;2114100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;上海青浦区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2006100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;广州黄埔区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2013100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;广州东山区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2115100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;上海奉贤区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2008100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;广州番禺区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2103100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;上海长宁区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2007100000;Valid;鹏;广州开发区 3c675;太平洋;18323882381;6423412;锟名;广州海珠区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2013200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;广州东山区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;86.5;1天14小时; ;
