薰;2501000001;NotApprove;m;南京鼓楼区 1b440;6655232;中南山;18318366573;夜月;南京鼓楼区 龙泰国际;6672132;美利坚;13713832443;手抓饼;1.0;1.0;10.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2501000002;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;南京鼓楼区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2502000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;南京玄武区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2503000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;南京建邺区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2504000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;南京秦淮区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2505000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;南京栖霞区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2506000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;南京六合区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2507000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;南京浦口区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2508000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;南京江宁区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;1001000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;北京宣武区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1002000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;北京东城区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1003000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;北京西城区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
欢;1004000000;NotApprove;鹏;南京鼓楼区 3c675;6423412;太平洋;18323882381;锟名;北京崇文区 中医学院;6382194;大西洋;13884852888;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;14.7;0天3小时; ;
